2,1,""
3,1,""
6,5,""
3,5,""
7,5,""
9,8,""
10,8,""
11,8,""
3,8,""
12,8,""
8,14,""
15,14,""
17,16,""
7,16,""
18,16,""
19,16,""
2,5,""
20,8,""
21,8,""
18,8,""
20,5,""
21,5,""
20,16,""
21,16,""
5,22,""
1,22,""
4,22,""
3,24,""
25,24,""
26,24,""
3,27,""
28,27,""
29,31,""
33,31,""
31,34,""
3,35,""
36,35,""
3,37,""
25,37,""
26,37,""
18,38,""
20,38,""
21,38,""
38,39,""
41,40,""
42,40,""
40,43,""
42,43,""
43,44,""
44,45,""
21,47,""
48,47,""
46,49,""
51,50,""
53,52,""
18,52,""
52,54,""
54,29,""
55,29,""
50,29,""
57,56,""
60,59,""
58,59,""
29,61,""
62,31,""
61,31,""
31,1,""
25,1,""
26,1,""
59,64,""
64,61,""
64,31,""
59,65,""
65,31,""
67,66,""
40,66,""
31,66,""
46,51,""
20,68,""
31,68,""
31,69,""
55,69,""
44,69,""
45,69,""
70,72,""
44,73,""
31,73,""
55,73,""
55,75,""
73,75,""
31,75,""
44,75,""
71,76,""
74,76,""
75,76,""
72,76,""
73,77,""
75,78,""
73,79,""
73,80,""
78,80,""
73,81,""
74,82,""
75,82,""
78,82,""
81,82,""
83,85,""
85,86,""
32,87,""
43,87,""
89,90,""
26,90,""
87,91,""
90,91,""
91,92,""
